issue	event	representativedoc	keyword	summary
0	0	4298	MERS outbreak in Korea,MERS outbreak Korea,MERS outbreak Korea,MERS outbreak,Someday there will be a MERS outbreak	['South Korea on Friday reported no new cases of Middle East Respiratory Syndrome for the 19th consecutive day. The number of patients diagnosed with MERS remains unchanged at 186. The last person in isolation will be released at midnight next Monday if he shows no symptoms of MERS until the day, the Ministry of Health and Welfare said.']
0	1	1494	North Korean Tourism Agency official,Monday tour of North Korea,North Korea tourism,A Korean tourism official said,North Korea closed	"['North Korea, which has banned foreign tourists from visiting the country since last October due to fears over the spread of the deadly Ebola virus, will reopen its borders, a Beijing-based tour firm specializing in tours to the North said Monday. North Korea\'s tourism officials told the Beijing-based Koryo Tours earlier in the day that there is ""some movement"" in the travel ban for foreign tourists.']"
0	2	4421	MERS is a viral respiratory,People diagnosed with MERS,Diagnosed with MERS,Diagnosed with MERS,mers coronavirus	['South Korea reported no additional cases of Middle East Respiratory Syndrome (MERS) for the 13th straight day on Saturday, with no fatalities occurring for a week, the health ministry said. The number of people diagnosed with MERS in the country remained unchanged at 186 with the death toll also staying flat at 36, it added.']
0	3	4985	Korean Society of Infectious Diseases,MERS patients in the south,MERS epidemic,of MERS patients,of MERS patients	"['South Korean President Park Geun-hye on Tuesday said that ""MERS could be stopped with good sanitation"" amid the spread of the virus in the country. She added that the possibility of MERS transmission to the general public is low and that the disease is not fatal to healthy people. South Korea has reported over 160 cases of the virus.']"
0	4	5331	Park Geun-hye Administration,virus health department,The government has ruined the MERS response.,MERS virus,MERS virus	['South Korean President Park Geun-hye held an emergency meeting with ministers and medical experts on Wednesday to seek measures to contain the MERS virus that has killed two and infected 30 as of Wednesday afternoon. The president said she would form a task force team after the meeting to identify the starting point of the virus and the route of the infection.']
1	0	4222	Pelosi spoke Japanese on Tuesday,Kim asked Pelosi.,Manners Kim asks of Pelosi,Kim asked Pelosi.,Pelosi asked.	"[""US House Democratic leader Nancy Pelosi said Japanese Prime Minister Shinzo Abe should make a clearer statement on the country's wartime sexual enslavement of women, according to a South Korean lawmaker. Pelosi made the remark during a meeting with Rep. Kim Moo-sung, chairman of South Korea's ruling Saenuri Party and other party lawmakers.""]"
1	1	2491	Korean and Japanese Parliamentarians,South Korean National Assembly delegation,Meeting with Japanese politicians,Koreans' dissatisfaction with Japan,Korean National Assembly delegation	"[""A South Korean parliamentary delegation led by a confidant of President Park Geun-hye left for Japan on Wednesday for a three-day visit expected to include a meeting with Japanese Prime Minister Shinzo Abe. The visit by members of the South Korea-Japan lawmakers' association comes as the two countries' ties have been strained over various issues related to their shared history, including the Japanese military's sexual enslavement of Korean women during World War II.""]"
1	2	5904	According to Japan's constitution,Japan's constitutional argument,Consensus is the Constitution of Japan,Japan's constitution asserts,Republic of Korea unconstitutional	"['South Korean Foreign Minister Yun Byung-se on Wednesday expressed hope for a ""wise"" verdict by the Constitutional Court, just hours before its ruling on a 1965 deal between South Korea and Japan. The court is scheduled to deliver a verdict later in the day on whether or not the bilateral Claims Settlement Agreement is constitutional. Japan claims that the deal, signed to normalize their diplomatic relations, settled all issues of compensation.']"
1	3	1323	Sex slavery like UNESCO,Japanese Systematic Rape Details,Minister Kim Hee-jung,world sex slaves,Japanese Systematic Rape Sexuality	"['South Korea\'s Gender Equality and Family Minister Kim Hee-jung urged Japan to face up to past wrongdoings and resolve the issue of its sexual enslavement of Asian women during World War II. ""We must face up to past wrongdoings in order to not repeat history, and to ensure that women and children can enjoy a peaceful future,"" she said.']"
1	4	5619	Many international historians,hundreds of scholars,A statement calling for Japan,many international historians,A statement calling for Japan	['Hundreds of more scholars from around the world have joined their colleagues in a joint statement criticising Japan for distorting the history of its wartime sexual slavery, bringing the total number to nearly 500. Earlier this month, a group of 187 internationally renowned historians issued the statement urging Japan to stop disputing historical facts about the wartime sexual slavery.']
2	0	1925	Prosecutor Choi said.,Prosecutors Choi,allegations of bribery,Prosecutor Choi Min,charged with bribery	['An incumbent judge was indicted on charges of taking bribes from a private money lender in return for legal favors, prosecutors said. Choi Min-ho, who works at the Suwon District Court in the Seoul suburb, is accused of amassing 268 million won ($246,000) in bribes from 2009 to 2011. He did this in exchange for helping a notorious loan shark receive reduced sentences for gambling- and drug-related crimes.']
2	1	572	park management notes,President Park Geun-hye,to President Park Geun,research on notes,President Park Geun	"['South Korean President Park Geun-hye on Sunday urged the prosecution to ""sternly deal with the case without sanctuary in accordance with the rule of law and principle."" This comes after the late Keangnam Chairman Sung Woan-jong left a list of politicians, including Park\'s chief of staff Lee Byung-kee, as recipients of illicit political funds he delivered. Authorities launched a special investigation team to probe the bribery allegations.']"
2	2	383	Professor Jung hated,The professor hated the park,Professor Jung,Professor Jung,Korea President	"['Park Yong-sung, the head of South Korea\'s largest power equipment maker Doosan Heavy Industries & Construction, said he will also resign as the chairman of the board at Chung-Ang University in Seoul and as the honorary chairman of the Korea Olympic Committee. In an email sent to about 20 professors in late March, Park said he would ""axe those begging to be axed.""']"
2	3	2	Korea National Oil Corporation,Korean state-owned,state oil company,state oil company,plan a national audit	"[""Prosecutors raided the headquarters of the Korea National Oil Corp., the house of former KNOC President Kang Young-won and the Seoul unit of investment bank Merrill Lynch to search evidence related to the energy project probe, according to the Seoul Central District Prosecutors' Office. KNOC has been under a prosecution investigation for allegedly creating a slush fund and misusing state funds linked with their state-financed overseas projects.""]"
2	4	3140	all protesters in korea,Presidential Candidate Jeong-dong,Candidate Dong General,former presidential candidate,all protesters in korea	['A former leftist lawmaker was convicted Friday for illegally holding a protest of the free trade deal between South Korea and the US four years ago. The Seoul Central District Court fined Lee Jung-hee, former chief of the Unified Progressive Party (UPP), 500,000 won ($420) for staging an unauthorized protest on the streets of central Seoul for about half an hour in November 2011.']
3	0	3634	South Korea's suicide rate,South Korea's suicide rate,South Korea's suicide rate remains,Korea Suicide Rate,Korean suicide rate	"[""South Korea's suicide rate remained highest among members of the Organization for Economic Cooperation and Development, while its health status was among the lowest, a recent OECD data showed. According to the OECD Health Statistics 2015, an average of 29.1 people per 100,000 committed suicide in 2012, about 2 1/2 times the OECD average of 11.9.""]"
3	1	918	divorce in korea,patriarchal Korean society,Traditionally patriarchal Korean society,patriarchal Korean society,Fornication is markedly	"['South Korea\'s Constitutional Court on February 26 ruled against the 62-year-old adultery law. The court said the law had to adapt to changing values among members of its society, including attitudes to love and sexuality. ""Amid a rapid rise in individualism and sexual openness, perceptions of marriage and sex are also changing,"" the judges said at the hearing.']"
3	2	6600	Gambling addiction is closely related,addicted to gambling,Gambling Addict Percentage,potential gambling addict,gambling addiction	['Some 2.07 million South Koreans aged 20 or older have been addicted to gambling at least once as of last year, while 82.2% of the population have gambling experience in various forms, a study showed. According to the report released by the Korea Institute for Health and Social Affairs, 5.4 percent of all Koreans aged 20 or older have been or are addicted to gambling.']
3	3	5931	cancer survival rate,proportion of cancer patients,cancer incidence for,stomach cancer incidence,cancer incidence	['The survival rate of cancer patients reached 69.4 percent in 2013, with the total number of people being treated dipping slightly from the year before, government data showed. The Ministry of Health and Welfare report showed that from 2009 to 2013, two out of three people diagnosed with cancer lived more than five years, up 15.6 percentage points from 53.8 percent tallied for the 2001-2005 period.']
3	4	6250	Paid Leave for Fathers,Korean father deserved,parental leave,paid leave period,father parental leave	"[""South Korea offers the longest paid paternal child care leave among members of the Organization for Economic Cooperation and Development, according to the organization's 2015 report. Korean fathers were entitled to up to 52.6 weeks of paid leave in 2014, well above the OECD average of nine weeks. Japan and France followed with 52 and 28 weeks, while nine offered no specific paid leave for fathers at all.""]"
4	0	4866	nuclear test ban treaty,North Korean nuclear issue,Korea's nuclear issue,North Korea's nuclear test,South Korea nuclear test	"[""The Group of Eminent Persons for the Comprehensive Nuclear-Test-Ban Treaty will hold their third meeting in Seoul on Thursday and seek international support against North Korea's nuclear weapons program, South Korea's Foreign Ministry said. The meeting will be attended by Hans Blix, former chief of the International Atomic Energy Agency, former Australian Prime Minister Kevin Rudd and Lassina Zerbo, head of the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization.""]"
4	1	1977	Korea and China,wanquan arrived in Seoul,Korea and China,Chinese Defense Minister,discuss North Korea	"[""The defense chiefs of South Korea and China are set to discuss North Korea's nuclear program, peninsular and regional situations and ways to step up bilateral defense cooperation on Wednesday. Chang Wanquan arrived in Seoul on Tuesday for a three-day stay and is scheduled for talks with his counterpart Han Min-koo. They last met in 2013 in Brunei.""]"
