issue	event	representativedoc	keyword	summary
0	0	7140	The Story of Airdre Mattner,Airdre Mattner Story,The Story of Airdre Mattner,Rape in Hongdae,an incident has occurred	"['Airdre Mattner, an Australian woman who was drugged, abducted and raped in Seoul in 2015, said she was questioned by police in a ""very insulting and offensive manner"". ""The language used by police made me feel like they blamed me for the rape as if I was lying,"" she added. Mattner said she has not heard of any progress from the police or the authorities about her case.']"
0	1	6039	Lee lived with her,her last name lived,Lee lived together,her rented apartment,her surname lee	['A 42-year-old woman set fire to her rented flat in Yeongdo-gu, Busan, in an apparent suicide attempt, police said. She had told investigators that she wanted to die because of her financial difficulties, but once she started the fire, she regretted her actions and escaped. Police investigation revealed that she had shown symptoms of depression due to financial difficulties.']
0	2	5193	Forced prostitution is prohibited,pimp will be punished,prostitution is prohibited,Blackmail and Extortion Prostitution,extortion prostitution	['A 42-year-old pimp was rescued from forced labor on a fishing boat, the Gyeongnam Provincial Police said Monday. The victim, originally a restaurant owner, introduced a woman to a prostitution bar run by a trio of gangsters in Changwon-si, South Gyeongsang Province in March 2015. Within a week, the woman ran away with 5 million won ($4,300) in advance payment.']
0	3	5862	hate crime kim,crime in korea,crime in korea,hate crime kim eun,crime gold	"['The murder of a 23-year-old woman in a public bathroom in Seoul was a random crime by a 34-year-old man suffering from mental illness, police said. The suspect, who had no prior contact with the victim, told police that he had committed the crime because he had been ""belittled"" by women many times in the past.']"
0	4	7320	Korean woman threw cash,Seoul banknotes,woman threw cash,woman threw cash value,she is banknote	['A 56-year-old woman threw hundreds of 1,000-won, 5,000-won and 10,000 won-banknotes on the street in downtown Seoul on Monday, but caused no major disruption as passersby did not rush to pick them up, police said. The woman allegedly said she was afraid of her ex-husband and son trying to take her money and would rather donate the money to anyone on the street.']
1	0	5581	sanctions are short,sanctions are not short,sanctions against Pyongyang,apply multilateral sanctions,Multilateral sanctions	"['US Ambassador to South Korea Mark Lippert said that sanctions are not a ""short-term game"" but a longer-term one that needs time and cooperation with other major countries to make them successful. ""The other big lesson that we took away from the Iran context was...you have to have multilateral sanctions that are working together with the Europeans, with Chinese, with the Russians,"" he added.']"
1	1	3092	New sanctions against North Korea,sanctions against North Korea,sanctions against North Korea,sanctions against North Korea,Resolution punishing North Korea	"['South Korea is considering ""various"" unilateral sanctions against North Korea following the adoption of tough sanctions by the UN Security Council on the communist regime, a government spokesman said. The sanctions include mandatory inspections of all cargo going in and out of North Korea and a ban on the country\'s exports of coal and other mineral resources.']"
1	2	755	North Korean banks,North Korean bank,North Korean bank,Chinese bank branch,Bank of China opened.	"[""A Chinese bank has opened a new branch in a special economic zone in North Korea, which can be a violation of the latest UN resolution against the North's nuclear test early this year, a US broadcaster reported. The resolution also obliges member nations to shut down existing representative offices or banking accounts in the North within 90 days if they have credible information that such financial services could contribute to the North's nuclear or ballistic missile programs.""]"
1	3	4145	North Korea resolution,punish North Korea,punish North Korea,North Korea's nuclear program,North Korea nuclear test	['A senior South Korean diplomat said on Sunday that China could use delaying tactics over a UN resolution meant to punish North Korea for its recent nuclear test. The UN Security Council has been working on a new sanctions resolution against North Korea. The previous sanctions have failed to stop North Korea from carrying out what it claimed was its first hydrogen bomb test earlier this month.']
1	4	5003	sanctions resolution with Beijing,Report China Submission,Efforts to punish Pyongyang,Resolved by Beijing Submission,Security Council sanctions resolution	['China has submitted an action plan on how to implement its sanctions against North Korea in tandem with the ongoing global efforts to punish Pyongyang for conducting its nuclear and missile tests earlier this year, a government source said. The report was submitted on June 20. The UN Security Council asked the 193 member countries to draw up their plans on how to enforce the sanctions.']
